   0.0000000e+00  -3.0667265e+00
   2.6110165e-05   6.6576502e-01
   5.2220390e-05  -1.5379199e+00
   7.8330675e-05  -6.4585132e-01
   1.0444102e-04  -1.3270866e+00
   1.3055143e-04  -1.2836486e+00
   1.5666190e-04   2.2820644e-01
   1.8277242e-04   3.7970979e-01
   2.0888301e-04  -7.0412181e-01
   2.3499366e-04  -4.5832619e-01
   2.6110437e-04  -3.2801212e-01
   2.8721514e-04  -1.1416805e+00
   3.1332597e-04   9.8784207e-01
   3.3943687e-04   8.3421985e-01
   3.6554782e-04  -8.3761429e-01
   3.9165883e-04   3.8394762e-01
   4.1776991e-04  -1.8854240e+00
   4.4388104e-04   3.8182873e-01
   4.6999223e-04   1.1796051e+00
   4.9610349e-04   8.8189569e-01
   5.2221481e-04   5.8312685e-01
   5.4832618e-04   2.2290911e-01
   5.7443762e-04   7.4946273e-01
   6.0054912e-04  -1.0706964e+00
   6.2666068e-04   5.8692206e-02
   6.5277230e-04  -5.3566707e-01
   6.7888398e-04   9.3654518e-02
   7.0499572e-04   2.7588232e-01
   7.3110752e-04   9.4122571e-01
   7.5721938e-04  -3.7356907e-01
   7.8333130e-04   5.7465112e-01
   8.0944328e-04   7.4310590e-01
   8.3555533e-04  -1.7544932e-01
   8.6166743e-04   6.9286850e-02
   8.8777960e-04  -8.4503053e-01
   9.1389182e-04  -8.6198191e-01
   9.4000411e-04   7.9184129e-01
   9.6611645e-04   4.6870476e-01
   9.9222886e-04   7.2827341e-01
   1.0183413e-03  -1.1332048e+00
   1.0444539e-03  -2.9940660e-01
   1.0705664e-03  -1.5887742e+00
   1.0966791e-03  -1.4266763e+00
   1.1227918e-03  -9.4250124e-01
   1.1489046e-03   1.0916696e+00
   1.1750174e-03  -4.9116958e-01
   1.2011303e-03  -3.3754731e-01
   1.2272433e-03   2.3138483e-01
   1.2533563e-03   1.5588931e+00
   1.2794693e-03  -1.2084267e+00
   1.3055825e-03  -6.0453222e-01
   1.3316957e-03   8.8401466e-01
   1.3578089e-03  -2.8183830e-02
   1.3839222e-03  -5.8864025e-01
   1.4100356e-03   4.5387226e-01
   1.4361491e-03   4.5599120e-01
   1.4622626e-03   6.1808918e-01
   1.4883761e-03  -9.1389569e-01
   1.5144897e-03   7.7700874e-01
   1.5406034e-03  -4.2336389e-01
   1.5667172e-03   2.1867127e-01
   1.5928310e-03  -1.3864166e+00
   1.6189448e-03  -4.9964528e-01
   1.6450587e-03  -2.9093089e-01
   1.6711727e-03  -6.9352719e-01
   1.6972868e-03  -3.2421686e-02
   1.7234009e-03   1.6478881e+00
   1.7495150e-03   1.1181561e+00
   1.7756293e-03  -6.6386218e-01
   1.8017435e-03   1.3872601e+00
   1.8278579e-03  -4.6680191e-01
   1.8539723e-03   1.3936168e+00
   1.8800868e-03  -2.8457411e-01
   1.9062013e-03   3.5216373e-01
   1.9323159e-03  -1.7010774e+00
   1.9584305e-03  -2.6853195e+00
   1.9845452e-03  -1.2815297e+00
   2.0106600e-03   1.4027092e-01
   2.0367748e-03   2.1973072e-01
   2.0628897e-03  -3.0470392e-01
   2.0890047e-03   7.9925754e-01
   2.1151197e-03   1.1562968e+00
   2.1412348e-03  -9.0541996e-01
   2.1673499e-03   4.9625082e-01
   2.1934651e-03  -1.1522751e+00
   2.2195804e-03  -1.3345029e+00
   2.2456957e-03   2.1125502e-01
   2.2718111e-03  -5.2613189e-01
   2.2979265e-03  -7.4755984e-01
   2.3240420e-03   4.7929937e-01
   2.3501576e-03  -1.4966009e+00
   2.3762732e-03  -3.6509338e-01
   2.4023889e-03  -1.1978320e+00
   2.4285046e-03  -6.8443465e-02
   2.4546204e-03   3.9878013e-01
   2.4807363e-03  -3.6509338e-01
   2.5068522e-03  -3.6509338e-01
   2.5329682e-03  -6.8293257e-01
   2.5590842e-03  -9.7048991e-02
   2.5852003e-03  -2.0729491e+00
   2.6113165e-03   6.0113780e-01
   2.6374327e-03  -1.1798211e+00
   2.6635490e-03   5.1002386e-01
   2.6896653e-03   7.9290071e-01
   2.7157817e-03  -5.3142923e-01
   2.7418982e-03   4.7082370e-01
   2.7680147e-03   1.6966234e+00
   2.7941313e-03   2.0324736e+00
   2.8202480e-03   1.0810748e+00
   2.8463647e-03   4.4919175e-02
   2.8724815e-03   1.5853798e+00
   2.8985983e-03   1.5673689e+00
   2.9247152e-03  -4.0747192e-01
   2.9508321e-03  -4.8587225e-01
   2.9769491e-03   6.5517040e-01
   3.0030662e-03  -2.6524759e+00
   3.0291834e-03   5.1214279e-01
   3.0553006e-03  -2.7128654e+00
   3.0814178e-03   2.0197600e+00
   3.1075351e-03   3.7547191e-01
   3.1336525e-03   3.0978516e-01
   3.1597699e-03   2.2655556e+00
   3.1858874e-03  -1.3927734e+00
   3.2120050e-03   4.9307240e-01
   3.2381226e-03   3.3839070e-01
   3.2642403e-03  -6.6386218e-01
   3.2903580e-03   1.1573563e+00
   3.3164758e-03   2.1913931e+00
   3.3425937e-03   1.2442324e+00
   3.3687116e-03   5.6299704e-01
   3.3948296e-03   8.7871731e-01
   3.4209477e-03  -1.4213790e+00
   3.4470658e-03   9.0626339e-01
   3.4731839e-03  -9.7958246e-01
   3.4993021e-03  -5.6215365e-01
   3.5254204e-03  -3.7674747e-01
   3.5515388e-03  -4.6998030e-01
   3.5776572e-03  -1.4764711e+00
   3.6037757e-03   1.4254007e+00
   3.6298942e-03   5.0366708e-01
   3.6560128e-03  -4.1065031e-01
   3.6821314e-03   6.5411091e-01
   3.7082501e-03  -7.5285716e-01
   3.7343689e-03   1.7771427e+00
   3.7604877e-03  -1.1294095e-01
   3.7866066e-03   1.5192504e-01
   3.8127256e-03  -8.5350626e-01
   3.8388446e-03   1.3766653e+00
   3.8649637e-03  -1.9383974e+00
   3.8910828e-03   1.0206854e+00
   3.9172020e-03  -4.5514779e-01
   3.9433213e-03   1.8159002e-01
   3.9694406e-03  -9.0436048e-01
   3.9955600e-03   5.3862939e-01
   4.0216794e-03  -6.2995934e-01
   4.0477989e-03  -1.4287952e+00
   4.0739184e-03   4.8141832e-01
   4.1000381e-03   3.5534209e-01
   4.1261577e-03  -1.5637897e-01
   4.1522775e-03   1.0641235e+00
   4.1783973e-03   2.0483655e+00
   4.2045172e-03   8.9249032e-01
   4.2306371e-03   8.0031695e-01
   4.2567571e-03   9.1156074e-01
   4.2828771e-03   1.8428294e+00
   4.3089972e-03   3.7547191e-01
   4.3351174e-03   8.1938730e-01
   4.3612376e-03  -1.6873044e+00
   4.3873579e-03   5.6935382e-01
   4.4134782e-03  -6.0453222e-01
   4.4395986e-03  -1.3503948e+00
   4.4657191e-03   2.8965535e-01
   4.4918396e-03  -4.9646689e-01
   4.5179602e-03  -1.4563412e+00
   4.5440809e-03  -5.1129939e-01
   4.5702016e-03  -7.9205734e-01
   4.5963224e-03   7.7594932e-01
   4.6224432e-03  -7.2107325e-01
   4.6485641e-03  -4.2336389e-01
   4.6746850e-03  -1.7438986e-01
   4.7008061e-03  -1.3620489e+00
   4.7269271e-03   3.8924494e-01
   4.7530483e-03  -3.0868562e+00
   4.7791695e-03   3.7441248e-01
   4.8052907e-03   3.8500710e-01
   4.8314120e-03  -1.9966678e+00
   4.8575334e-03  -2.1354575e+00
   4.8836548e-03   2.0896846e+00
   4.9097763e-03   3.3070085e+00
   4.9358979e-03   1.5324066e+00
   4.9620195e-03   1.9858571e+00
   4.9881412e-03   1.8396511e+00
   5.0142629e-03   6.5411091e-01
   5.0403847e-03   6.1385132e-01
   5.0665066e-03  -5.9287814e-01
   5.0926285e-03   1.9392407e+00
   5.1187505e-03   2.3884535e+00
   5.1448726e-03   1.7947110e-01
   5.1709947e-03   1.2018538e+00
   5.1971168e-03   1.9006574e-01
   5.2232391e-03   1.9536305e-01
   5.2493613e-03   7.6111684e-01
   5.2754837e-03   5.5134295e-01
   5.3016061e-03  -1.1279074e+00
   5.3277286e-03  -4.4879102e-01
   5.3538511e-03   7.9290071e-01
   5.3799737e-03   1.6733152e+00
   5.4060963e-03   5.2335425e-02
   5.4322190e-03   1.4344931e-01
   5.4583418e-03  -1.1533346e+00
   5.4844647e-03  -9.0692208e-02
   5.5105875e-03   1.9561920e+00
   5.5367105e-03   1.4476495e+00
   5.5628335e-03   1.1849024e+00
   5.5889566e-03  -8.1324666e-01
   5.6150797e-03   1.4688387e+00
   5.6412029e-03  -1.1628697e+00
   5.6673262e-03  -8.4820891e-01
   5.6934495e-03   6.4775415e-01
   5.7195729e-03  -4.6194719e-02
   5.7456963e-03  -6.8443465e-02
   5.7718198e-03   4.8883457e-01
   5.7979434e-03  -4.7315869e-01
   5.8240670e-03  -7.6663019e-01
   5.8501907e-03  -6.5856488e-01
   5.8763144e-03   8.3104147e-01
   5.9024382e-03  -5.6215365e-01
   5.9285621e-03   1.8502457e+00
   5.9546860e-03  -7.2681320e-02
   5.9808100e-03   6.1067294e-01
